ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
20716,110,D,ILLINOI,17,HARE,Philip,2,1,1,0,100
15417,110,R,ILLINOI,14,HASTERT,J. Dennis,2,0,2,0,25
29517,110,R,ILLINOI,18,LAHOOD,Ray,4,2,2,0,77
29349,110,R,ILLINOI,16,MANZULLO,Donald,3,1,2,0,20
29911,110,D,ILLINOI,9,SCHAKOWS,Janice,3,2,1,1,100
29718,110,R,ILLINOI,19,SHIMKUS,John,3,0,3,0,33
15014,110,R,INDIANA,5,BURTON,Dan,3,2,1,0,20
29350,110,R,INDIANA,4,BUYER,Steve,2,1,1,0,44
20717,110,D,INDIANA,2,DONNELLY,Joe,2,1,1,0,80
20718,110,D,INDIANA,8,ELLSWORTH,Brad,1,1,0,0,77
29914,110,D,INDIANA,9,HILL,Baron,3,3,0,0,100
20117,110,R,INDIANA,6,PENCE,Mike,3,2,1,0,10
29519,110,R,INDIANA,3,SOUDER,Mark,3,1,2,0,30
15124,110,D,INDIANA,1,VISCLOSKY,Peter,2,0,2,0,100
29721,110,D,IOWA,3,BOSWELL,Leonard,3,2,1,0,100
20719,110,D,IOWA,1,BRALEY,Bruce,3,1,2,0,100
20325,110,R,IOWA,5,KING,Steve,3,0,3,0,10
29522,110,R,IOWA,4,LATHAM,Tom,3,2,1,0,40
20721,110,D,KANSAS,2,BOYDA,Nancy,7,3,4,1,90
29915,110,D,KANSAS,3,MOORE,Dennis,7,2,4,0,100
29722,110,R,KANSAS,1,MORAN,Jerry,2,2,0,0,40
29524,110,R,KANSAS,4,TIAHRT,Todd,3,1,2,0,37
20326,110,D,KENTUCK,6,CHANDLER,Ben,3,1,2,0,100
29352,110,R,KENTUCK,2,LEWIS,Ron,2,1,1,0,30
14854,110,R,KENTUCK,5,ROGERS,Harold,3,1,2,0,50
29525,110,R,KENTUCK,1,WHITFIEL,Ed,1,1,0,0,50
20723,110,D,KENTUCK,3,YARMUTH,John,1,0,1,0,100
15401,110,R,LOUISIA,6,BAKER,Richard,2,1,1,0,20
20514,110,R,LOUISIA,7,BOUSTANY,Charles,2,1,1,0,30
29120,110,D,LOUISIA,2,JEFFERSO,William,5,5,0,0,100
20512,110,R,LOUISIA,1,JINDAL,Bobby,3,1,2,0,50
20513,110,D,LOUISIA,3,MELANCON,Charlie,2,1,1,0,80
29728,110,D,MAINE,1,ALLEN,Thomas,2,2,0,0,100
29587,110,D,MARYLAN,7,CUMMINGS,Elijah,1,1,0,0,100
29122,110,R,MARYLAN,1,GILCHRES,Wayne,3,1,2,0,100
