state,office,name,party,rating,congress
WI,U.S. House - 7,Tom Tiffany,Republican,0%,116
WI,U.S. House - 8,Mike Gallagher,Republican,14%,116
WV,U.S. Senate - Sr,Joe Manchin III,Democratic,43%,116
WV,U.S. Senate - Jr,Shelley Capito,Republican,0%,116
WV,U.S. House - 1,David McKinley,Republican,14%,116
WV,U.S. House - 2,Alex Mooney,Republican,0%,116
WV,U.S. House - 3,Carol Miller,Republican,0%,116
WY,U.S. Senate - Sr,John Barrasso,Republican,0%,116
WY,U.S. House - At-Large,Liz Cheney,Republican,0%,116
AK,U.S. Senate - Sr,Lisa Murkowski,Republican,43%,115
AK,U.S. Senate - Jr,Dan Sullivan,Republican,0%,115
AK,U.S. House - At-Large,Donald Young,Republican,0%,115
AL,U.S. Senate - Sr,Richard Shelby,Republican,0%,115
AL,U.S. House - 3,Mike Rogers,Republican,0%,115
AL,U.S. House - 4,Robert Aderholt,Republican,0%,115
AL,U.S. House - 5,Mo Brooks,Republican,0%,115
AL,U.S. House - 6,Gary Palmer,Republican,0%,115
AL,U.S. House - 7,Terri Sewell,Democratic,100%,115
AR,U.S. Senate - Sr,John Boozman,Republican,0%,115
AR,U.S. Senate - Jr,Tom Cotton,Republican,0%,115
AR,U.S. House - 1,Rick Crawford,Republican,0%,115
AR,U.S. House - 2,French Hill,Republican,0%,115
AR,U.S. House - 3,Steve Womack,Republican,0%,115
AR,U.S. House - 4,Bruce Westerman,Republican,0%,115
AS,U.S. House - Delegate,Aumua Amata Radewagen,Republican,0%,115
AZ,U.S. Senate - Sr,Kyrsten Sinema,Democratic,100%,115
AZ,U.S. House - 1,Tom O'Halleran,Democratic,100%,115
AZ,U.S. House - 3,Raul Grijalva,Democratic,100%,115
AZ,U.S. House - 4,Paul Gosar,Republican,0%,115
AZ,U.S. House - 5,Andy Biggs,Republican,17%,115
AZ,U.S. House - 6,David Schweikert,Republican,0%,115
AZ,U.S. House - 7,Ruben Gallego,Democratic,100%,115
AZ,U.S. House - 8,Debbie Lesko,Republican,0%,115
CA,U.S. Senate - Sr,Dianne Feinstein,Democratic,100%,115
CA,U.S. House - 1,Doug LaMalfa,Republican,0%,115
CA,U.S. House - 2,Jared Huffman,Democratic,100%,115
CA,U.S. House - 3,John Garamendi,Democratic,100%,115
CA,U.S. House - 4,Tom McClintock,Republican,0%,115
CA,U.S. House - 5,Mike Thompson,Democratic,100%,115
CA,U.S. House - 6,Doris Matsui,Democratic,100%,115
